,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,,BCFG,BR,DZ,FG,FG+,FU,GR,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCFG,VCTS
0,1.0,2007-05-01,83.0,50.0,67.0,14.0,51.0,56.0,0.0,2.0,0448,1849, ,0.0,0.0,29.1,29.82,1.7,27.0,9.2,2007,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,2007-05-01,84.0,52.0,68.0,,51.0,57.0,0.0,3.0,-,-, ,,0.0,29.18,29.82,2.7,25.0,9.6,2007,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,2007-05-02,59.0,42.0,51.0,-3.0,42.0,47.0,14.0,0.0,0447,1850,BR,0.0,0.0,29.38,30.09,13.0,4.0,13.4,2007,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,2007-05-02,60.0,43.0,52.0,,42.0,47.0,13.0,0.0,-,-,BR HZ,,0.0,29.44,30.08,13.3,2.0,13.4,2007,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,2007-05-03,66.0,46.0,56.0,2.0,40.0,48.0,9.0,0.0,0446,1851, ,0.0,0.0,29.39,30.12,11.7,7.0,11.9,2007,5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,2007-05-03,67.0,48.0,58.0,,40.0,50.0,7.0,0.0,-,-,HZ,,0.0,29.46,30.12,12.9,6.0,13.2,2007,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,2007-05-04,66.0,49.0,58.0,4.0,41.0,50.0,7.0,0.0,0444,1852,RA,0.0,0.1,29.31,30.05,10.4,8.0,10.8,2007,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,2007-05-05,66.0,53.0,60.0,5.0,38.0,49.0,5.0,0.0,0443,1853, ,0.0,0.1,29.4,30.1,11.7,7.0,12.0,2007,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,2007-05-05,66.0,54.0,60.0,,39.0,50.0,5.0,0.0,-,-, ,,0.1,29.46,30.09,11.2,7.0,11.5,2007,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,2007-05-06,68.0,49.0,59.0,4.0,30.0,46.0,6.0,0.0,0442,1855, ,0.0,0.0,29.57,30.29,14.4,11.0,15.0,2007,5,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.0,2007-05-06,68.0,52.0,60.0,,30.0,46.0,5.0,0.0,-,-, ,,0.0,29.62,30.28,13.8,10.0,14.5,2007,5,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,2007-05-07,83.0,47.0,65.0,10.0,41.0,54.0,0.0,0.0,0441,1856,RA,0.0,0.1,29.38,30.12,8.6,18.0,10.5,2007,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2.0,2007-05-07,84.0,50.0,67.0,,39.0,53.0,0.0,2.0,-,-, ,,0.0,29.44,30.12,8.5,17.0,9.9,2007,5,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,2007-05-08,82.0,54.0,68.0,12.0,58.0,62.0,0.0,3.0,0439,1857,BR,0.0,0.0,29.29,30.03,2.7,11.0,5.8,2007,5,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.0,2007-05-08,80.0,60.0,70.0,,57.0,63.0,0.0,5.0,-,-,HZ,,0.1,29.36,30.02,2.5,8.0,5.4,2007,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
